#! FIELDS dist file.free der_dist
#! SET min_dist 0.199134
#! SET max_dist 0.751152
#! SET nbins_dist  158
#! SET periodic_dist false
    0.199134000   -0.000000101   -0.417620903
    0.202650038   -0.002667956   -1.225508894
    0.206166076   -0.014672557   -7.005623882
    0.209682115   -0.065449205  -24.950969664
    0.213198153   -0.219705448  -68.252982165
    0.216714191   -0.603924841 -159.988446629
    0.220230229   -1.437274846 -330.254136388
    0.223746268   -3.044352784 -602.389395866
    0.227262306   -5.803466476 -984.440598073
    0.230778344  -10.055142298 -1441.487718632
    0.234294382  -15.929015292 -1889.096784224
    0.237810420  -23.198606396 -2216.940733490
    0.241326459  -31.250871824 -2320.147451102
    0.244842497  -39.207898225 -2162.916226808
    0.248358535  -46.199623994 -1785.120408460
    0.251874573  -51.630203096 -1297.279670295
    0.255390611  -55.346342192 -832.483992512
    0.258906650  -57.613336284 -479.918799063
    0.262422688  -58.884225821 -265.388768336
    0.265938726  -59.605134663 -157.905958837
    0.269454764  -60.051198979  -99.391445728
    0.272970803  -60.303749934  -43.423189776
    0.276486841  -60.345891118   20.420671728
    0.280002879  -60.163059307   82.272048662
    0.283518917  -59.778237410  134.480190980
    0.287034955  -59.238221290  169.838183806
    0.290550994  -58.595528778  195.353034654
    0.294067032  -57.863395350  220.239930685
    0.297583070  -57.055811453  237.880851849
    0.301099108  -56.193273265  250.723531821
    0.304615146  -55.309652654  249.942194581
    0.308131185  -54.456047131  233.183161684
    0.311647223  -53.675974501  212.180299389
    0.315163261  -52.962517002  196.744348966
    0.318679299  -52.269833030  200.967323838
    0.322195338  -51.538411117  215.694610729
    0.325711376  -50.762962487  222.987752817
    0.329227414  -50.001312674  208.693729204
    0.332743452  -49.322561384  173.033763641
    0.336259490  -48.790743329  130.237192900
    0.339775529  -48.387223478  102.617816615
    0.343291567  -48.051869633   91.329398033
    0.346807605  -47.741964527   84.670470251
    0.350323643  -47.463763678   70.881321102
    0.353839682  -47.256231639   45.399588126
    0.357355720  -47.153041128   11.756195746
    0.360871758  -47.164084785  -17.632944182
    0.364387796  -47.260464157  -35.513519487
    0.367903834  -47.391371293  -35.770257510
    0.371419873  -47.496165713  -21.949415816
    0.374935911  -47.540356821   -3.906000729
    0.378451949  -47.545053259   -1.727978721
    0.381967987  -47.574535817  -19.898909190
    0.385484025  -47.711144900  -59.261122692
    0.389000064  -47.985756963  -95.576273605
    0.392516102  -48.367521154 -116.383020316
    0.396032140  -48.782328933 -115.660694478
    0.399548178  -49.162470205 -100.262254395
    0.403064217  -49.481677907  -82.746636643
    0.406580255  -49.750639800  -72.465457098
    0.410096293  -50.009330950  -76.566201799
    0.413612331  -50.311413566  -97.008478340
    0.417128369  -50.705280999 -128.316151273
    0.420644408  -51.210005445 -157.159814488
    0.424160446  -51.782669546 -165.058441624
    0.427676484  -52.335041705 -144.555039946
    0.431192522  -52.777575711 -106.104253495
    0.434708561  -53.082476648  -69.491170783
    0.438224599  -53.289130347  -53.768994071
    0.441740637  -53.487856312  -62.249374157
    0.445256675  -53.740290814  -81.657609005
    0.448772713  -54.051740391  -93.298832809
    0.452288752  -54.375728408  -90.302272520
    0.455804790  -54.676421462  -78.290180436
    0.459320828  -54.926925174  -65.743727848
    0.462836866  -55.141478418  -55.889497837
    0.466352904  -55.328868416  -50.273165334
    0.469868943  -55.489963328  -42.510117970
    0.473384981  -55.628025732  -36.559530187
    0.476901019  -55.760500142  -39.500580581
    0.480417057  -55.918784876  -47.441613703
    0.483933096  -56.086081861  -44.268364081
    0.487449134  -56.211808159  -24.707446813
    0.490965172  -56.255547499    0.274818888
    0.494481210  -56.224437836   12.923984427
    0.497997248  -56.199335167   -1.532599865
    0.501513287  -56.254671840  -31.327919217
    0.505029325  -56.415149274  -56.945738925
    0.508545363  -56.623617410  -56.258075197
    0.512061401  -56.781991091  -31.584998863
    0.515577439  -56.840919057   -4.151923653
    0.519093478  -56.831274576    5.767379175
    0.522609516  -56.826221427   -5.960608726
    0.526125554  -56.887546183  -26.836674394
    0.529641592  -56.999897069  -32.821553336
    0.533157631  -57.096301329  -19.484824272
    0.536673669  -57.129295141    0.201882982
    0.540189707  -57.096238527   15.096121006
    0.543705745  -57.021843022   25.764339484
    0.547221783  -56.913343933   37.369631922
    0.550737822  -56.755581039   53.297331803
    0.554253860  -56.545473357   64.730000704
    0.557769898  -56.318587994   61.629344023
    0.561285936  -56.123631757   47.432858708
    0.564801975  -55.983586076   32.592698631
    0.568318013  -55.873758158   33.501212050
    0.571834051  -55.733141283   47.038704107
    0.575350089  -55.542545780   59.878377615
    0.578866127  -55.327137639   60.561380564
    0.582382166  -55.128326238   49.742848791
    0.585898204  -54.983569507   32.760646003
    0.589414242  -54.900464969   13.298803070
    0.592930280  -54.891730925   -9.156277218
    0.596446318  -54.958754510  -27.045749605
    0.599962357  -55.057555382  -24.167015438
    0.603478395  -55.094432933    7.094500321
    0.606994433  -54.983884209   58.504133900
    0.610510471  -54.688929847  105.776590735
    0.614026510  -54.271996809  128.410231667
    0.617542548  -53.817972791  129.496769995
    0.621058586  -53.356815321  133.833118020
    0.624574624  -52.846874124  159.553610748
    0.628090662  -52.213671694  203.357227895
    0.631606701  -51.416591668  249.186285993
    0.635122739  -50.487582780  278.767307775
    0.638638777  -49.454437353  308.975941513
    0.642154815  -48.313765200  340.612481845
    0.645670854  -47.047857152  379.435487465
    0.649186892  -45.654766366  410.906757268
    0.652702930  -44.179589173  422.797570720
    0.656218968  -42.711422017  411.345081980
    0.659735006  -41.290717425  399.858475352
